rank,name,country,points
1,Carlos Alcaraz,ESP,7540
2,Jannik Sinner,ITA,6000
3,Alexander Zverev,GER,3680
4,Ben Shelton,USA,3410
5,Novak Djokovic,SRB,3380
6,Taylor Fritz,USA,2965
7,Jack Draper,GBR,2940
8,Alex de Minaur,AUS,2735
9,Lorenzo Musetti,ITA,2660
10,Casper Ruud,NOR,2225
12,Karen Khachanov,,2060
13,Andrey Rublev,,2010
14,Tommy Paul,USA,1950
15,Alexander Bublik,KAZ,1945
16,Holger Rune,DEN,1940
17,Jakub Mensik,CZE,1930
18,Francisco Cerundolo,ARG,1885
19,Daniil Medvedev,,1750
20,Flavio Cobolli,ITA,1750
21,Felix Auger-Aliassime,CAN,1705
22,Jiri Lehecka,CZE,1560
23,Tallon Griekspoor,NED,1395
24,Stefanos Tsitsipas,GRE,1325
25,Denis Shapovalov,CAN,1315
26,Frances Tiafoe,USA,1300
27,Luciano Darderi,ITA,1284
28,Arthur Fils,FRA,1260
29,Tomas Machac,CZE,1175
30,Brandon Nakashima,USA,1170
31,Alex Michelsen,USA,1155
32,Grigor Dimitrov,BUL,1130
33,Cameron Norrie,GBR,1108
34,Sebastian Baez,ARG,1060
35,Alexandre Muller,FRA,1055
36,Joao Fonseca,BRA,1007
37,Gabriel Diallo,CAN,991
38,Corentin Moutet,FRA,966
39,Camilo Ugo Carabelli,ARG,958
40,Lorenzo Sonego,ITA,925
41,Ugo Humbert,FRA,925
42,Nuno Borges,POR,910
43,Alexei Popyrin,AUS,890
44,Miomir Kecmanovic,SRB,850
45,Jaume Munar,ESP,835
46,Fabian Marozsan,HUN,830
47,Daniel Altmaier,GER,828
48,Gael Monfils,FRA,815
49,Reilly Opelka,USA,815
50,Damir Dzumhur,BIH,805
51,Aleksandar Kovacevic,USA,801
52,Zizou Bergs,BEL,798
53,Hubert Hurkacz,POL,775
54,Learner Tien,USA,750
55,Matteo Arnaldi,ITA,745
56,Matteo Berrettini,ITA,710
57,Ethan Quinn,USA,709
59,Sebastian Korda,USA,685
60,Francisco Comesana,ARG,675
61,Mariano Navone,ARG,665
62,Marcos Giron,USA,660
63,Jacob Fearnley,GBR,657
64,Filip Misolic,AUT,645
65,Jenson Brooksby,USA,637
66,Jesper de Jong,NED,628
67,Laslo Djere,SRB,628
68,Quentin Halys,FRA,613
69,Marin Cilic,CRO,609
70,Pedro Martinez,ESP,605
71,Adam Walton,AUS,603
72,Marton Fucsovics,HUN,600
74,Hamad Medjedovic,SRB,585
75,Roberto Bautista Agut,ESP,585
76,Kamil Majchrzak,POL,561
78,Mattia Bellucci,ITA,550
79,Tristan Schoolkate,AUS,548
80,Emilio Nava,USA,543
81,Carlos Taberner,ESP,541
82,Arthur Rinderknech,FRA,540
83,Borna Coric,CRO,537
84,Luca Nardi,ITA,533
85,Valentin Royer,FRA,519
86,Brandon Holt,USA,514
87,Vit Kopriva,CZE,504
88,Cristian Garin,CHI,496
89,Nicolas Jarry,CHI,491
90,Jordan Thompson,AUS,475
91,Liam Draxl,CAN,474
92,Arthur Cazaux,FRA,466
93,Alexander Shevchenko,KAZ,460
94,Shintaro Mochizuki,JPN,458
95,Hugo Dellien,BOL,456
96,Dalibor Svrcina,CZE,456
98,Chun-Hsin Tseng,TPE,451
99,Raphael Collignon,BEL,436
100,Sebastian Ofner,AUT,433
